scientific name,vernacular name,link
Agromyza albipennis,Black wheat leaf miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=56996
Agromyza ambigua,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=56997
Agromyza apfelbecki,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=56998
Agromyza cinerascens,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=56999
Agromyza drepanura,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57000
Agromyza frontella,Alfalfa blotch leafminer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57001
Agromyza intermittens,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57002
Agromyza luteitarsis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57003
Agromyza megalopsis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57004
Agromyza nana,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57005
Agromyza nigrella,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57006
Agromyza nigrociliata,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57007
Agromyza oryzae,Rice leaf miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57008
Agromyza parvicornis,Corn blotch leafminer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57009
Agromyza rondensis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57010
Agromyza yanonis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57011
Amauromyza flavifrons,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57012
Calycomyza lantanae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57013
Calycomyza malvae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57014
Cerodontha angustipennis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57015
Cerodontha australis,Wheat sheath miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57016
Cerodontha denticornis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57017
Cerodontha dorsalis,Grass sheathminer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57018
Cerodontha incisa,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57019
Cerodontha lateralis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57020
Cerodontha orbitona,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57021
Cerodontha oryzivora,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57022
Chromatomyia fuscula,Oat leafminer fly,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57023
Chromatomyia horticola,Pea leaf miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57024
Chromatomyia milii,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57025
Chromatomyia nigra,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57026
Chromatomyia syngenesiae,Cineraria leafminer,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57027
Hexomyza simplex,Asparagus miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57028
Japanagromyza aequalis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57029
Japanagromyza desmodivora,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57030
Japanagromyza inaequalis,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57031
